TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)

00:00:01,0.034,0.008,0.083,3.686,7.349,11.059,31.538
00:00:02,2.140,2.405,2.550,4.085,7.935,11.946,31.878
00:00:03,2.285,2.398,2.618,4.098,7.944,11.953,31.729
00:00:04,2.285,2.434,2.622,3.979,8.002,11.967,31.470
00:00:05,2.238,2.429,2.612,4.097,7.975,12.001,31.491
00:00:06,2.170,2.425,2.609,4.102,7.975,12.015,31.858
00:00:07,2.170,2.414,2.606,4.102,7.984,12.022,31.872
00:00:08,2.159,2.426,2.564,4.107,7.984,12.022,31.688
00:00:09,2.212,2.431,2.598,4.114,7.989,12.015,31.681
00:00:10,2.212,2.429,2.612,4.080,7.962,12.050,31.606
00:00:11,2.212,2.431,2.609,4.097,7.993,12.043,31.872
00:00:12,2.177,2.425,2.567,4.117,8.002,12.057,31.878
00:00:13,2.220,2.431,2.610,4.125,8.002,12.050,31.729
00:00:14,2.213,2.434,2.607,4.126,0.974,12.071,31.892
00:00:15,2.241,2.420,2.598,4.119,7.998,12.043,33.035
00:00:16,2.241,2.434,2.616,4.091,7.975,12.084,31.647
00:00:17,2.214,2.428,2.610,4.125,8.020,12.064,31.729
00:00:18,2.241,2.424,2.565,4.123,7.998,12.043,32.973
00:00:19,2.241,2.391,2.567,4.115,8.002,12.050,31.783
00:00:20,2.220,2.428,2.608,4.127,8.020,11.980,31.742
00:00:21,2.222,2.426,2.608,4.132,7.778,12.161,31.878
00:00:22,2.222,2.426,2.609,4.129,8.020,11.842,31.817
00:00:23,2.175,2.422,2.577,4.132,8.015,12.071,31.776
00:00:24,2.221,2.442,2.621,4.138,8.024,12.098,31.824
00:00:25,2.221,2.426,2.603,4.134,1.000,12.091,32.144
00:00:26,2.236,2.418,2.660,4.146,8.033,12.043,32.355
00:00:27,2.230,2.425,2.609,4.064,8.065,12.071,31.593
00:00:28,2.230,2.428,2.604,4.135,8.038,12.091,31.858
00:00:29,2.232,2.426,2.603,4.136,8.047,12.105,31.865
00:00:30,2.214,2.428,2.606,4.141,8.033,12.098,31.946
00:00:31,2.237,2.425,2.604,4.141,7.872,12.126,32.531
00:00:32,2.250,2.420,2.612,4.141,8.033,12.098,33.028
00:00:33,2.250,2.419,2.618,4.130,8.029,12.105,31.906
00:00:34,2.212,2.423,2.609,4.143,8.056,12.119,31.872
00:00:35,2.214,2.428,2.606,4.148,8.056,12.119,31.892
00:00:36,2.295,2.420,2.636,4.141,8.042,12.105,32.980
00:00:37,2.287,2.411,2.585,4.141,8.056,12.119,32.164
00:00:38,2.287,2.426,2.597,4.143,8.056,12.084,31.953
00:00:39,2.227,2.416,2.606,4.147,8.056,12.126,32.089
00:00:40,2.222,2.446,2.628,4.143,8.011,12.077,31.892
00:00:41,2.212,2.429,2.604,4.148,8.074,12.140,32.035
00:00:42,2.212,2.419,2.609,4.149,8.065,12.133,32.021
00:00:43,2.237,2.419,2.601,4.148,8.051,12.126,33.130
00:00:44,2.294,2.440,2.529,4.142,8.015,12.126,33.075
00:00:45,2.294,2.423,2.609,4.148,8.074,12.154,31.926
00:00:46,2.217,2.419,2.619,4.140,8.047,12.126,31.926
00:00:47,2.237,2.429,2.621,4.117,8.007,12.154,31.634
00:00:48,2.166,2.414,2.601,4.151,8.065,12.140,31.912
00:00:49,2.212,2.425,2.604,4.155,8.042,12.265,32.001
00:00:50,2.243,2.425,2.612,4.151,8.065,12.147,32.599
00:00:51,2.243,2.425,2.581,4.149,8.056,12.147,32.722
00:00:52,2.301,2.426,2.606,4.153,8.074,12.071,32.028
00:00:53,2.227,2.425,2.604,4.155,8.069,12.154,32.096
00:00:54,2.227,2.426,2.622,4.149,8.404,12.071,32.035
00:00:55,2.198,2.431,2.636,4.152,8.069,12.154,32.042
00:00:56,2.214,2.432,2.618,4.155,8.074,12.154,31.919
00:00:57,2.318,2.429,2.627,4.155,7.881,12.154,32.151
00:00:58,2.254,2.415,2.584,4.154,8.065,12.154,31.572
00:00:59,2.224,2.423,2.609,4.152,8.069,12.154,32.001
00:01:00,2.224,2.419,2.548,4.156,8.083,12.168,32.069
00:01:01,2.167,2.412,2.562,4.153,8.096,12.133,32.096
00:01:02,2.167,2.422,2.608,4.153,8.074,12.161,32.232
00:01:03,2.230,2.347,2.609,4.169,8.042,12.140,32.259
00:01:04,2.224,2.449,2.621,4.161,8.029,12.084,32.042
00:01:05,2.174,2.420,2.585,4.158,8.074,12.154,32.076
00:01:06,2.270,2.426,2.597,4.156,8.074,12.168,33.082
00:01:07,2.301,2.425,2.621,4.146,8.065,12.147,33.239
00:01:08,2.290,2.411,2.577,4.156,8.078,12.154,32.389
00:01:09,2.290,2.425,2.606,4.156,8.083,12.174,32.110
00:01:10,2.222,2.425,2.604,4.160,8.078,12.168,32.096
00:01:11,2.293,2.423,2.624,4.158,8.091,12.168,33.300
00:01:12,2.316,2.432,2.627,4.158,8.074,12.154,33.062
00:01:13,2.217,2.397,2.506,4.160,8.042,12.154,32.259
00:01:14,2.217,2.426,2.601,4.162,8.083,12.174,32.205
